event_id,title,description,category,timezone,geo_coordinates_longitude,geo_coordinates_latitude,geo_address_region,location,country,phq_attendance,rank,local_rank,predicted_event_spend,entities_names,city,category_encoded,city_encoded,combined_features,norm_attendance,norm_spend,norm_rank,norm_local_rank,collaborative_score
cwsdnfy2m3vwnt8d3w,etechnxt,sourced from predicthqcom,expos,Asia/Kolkata,77.50053199999999,28.461767,Uttar Pradesh,"77.50053199999999,28.461767",IN,350000.0,100,100.0,25544680.0,India Expo Centre and Mart,Lucknow,0,44,etechnxt sourced from predicthqcom expos Lucknow,0.3140293537399048,0.22247156770386162,0.99999999999,0.0,0.3423532118056204
daa7a55z6gu4rggjy2,daytona bike week,sourced from predicthqcom  bike week is a 10day motorcycle rally attendees of this event can enjoy live music street festivals food and craft vendors bike displays concerts a bike parade and more daytona beach bike week attracts bikers from all over the country to show off their bikes,festivals,America/New_York,"[[-81.0123352, 29.2270665], [-81.0135153, 29.2266265], [-81.0127536, 29.2251752], [-81.0115412, 29.2255872], [-81.0123352, 29.2270665]]",0,Florida,"-81.01253327022773,29.226113158018517",US,500000.0,100,100.0,37280785.0,Daytona Beach Bike Week,Miami,1,47,daytona bike week sourced from predicthqcom  bike week is a 10day motorcycle rally attendees of this event can enjoy live music street festivals food and craft vendors bike displays concerts a bike parade and more daytona beach bike week attracts bikers from all over the country to show off their bikes festivals Miami,0.4987525029986724,0.3391220065604351,0.99999999999,0.0,0.4512376031660995
gdujysafpthnnez79f,venice carnival,sourced from predicthqcom  carnival in venice is a oneofakind celebration suspended between past and present with a traditional local allure featuring many eventwithintheevent among these the starting twoday festa veneziana with its typical masked regattas the best masked costume contest the festa delle marie and countless iconic parades each year carnival includes celebrations whose history dates back to the times of the serenissima such as the famous eagle flight or the wellknown flight of the angel to name but a few carnival in venice is the purest example of the perfect meld of tradition culture and entertainment all in one offering a chance of fun for visitors of all ages,festivals,Europe/Rome,12.3152672,45.4414685,Veneto,"12.3152672,45.4414685",IT,300000.0,100,100.0,23054909.0,Venice Carnival,Venice,1,79,venice carnival sourced from predicthqcom  carnival in venice is a oneofakind celebration suspended between past and present with a traditional local allure featuring many eventwithintheevent among these the starting twoday festa veneziana with its typical masked regattas the best masked costume contest the festa delle marie and countless iconic parades each year carnival includes celebrations whose history dates back to the times of the serenissima such as the famous eagle flight or the wellknown flight of the angel to name but a few carnival in venice is the purest example of the perfect meld of tradition culture and entertainment all in one offering a chance of fun for visitors of all ages festivals Venice,0.25245497065364897,0.19772461121341015,0.99999999999,0.0,0.31029937162398263
gvnztaren4v4bjsr5m,wbca washingtons birthday celebration,sourced from predicthqcom  the washingtons birthday celebration wbca is a monthlong event held each february in laredo the seat of webb county in south texas that celebrates the birthday of george washington,festivals,America/Chicago,"[[-99.5216184, 27.5451966], [-99.5271974, 27.4972422], [-99.5029073, 27.4992978], [-99.4819646, 27.4919127], [-99.4829946, 27.5413154], [-99.5216184, 27.5451966]]",0,Texas,"-99.50338774856236,27.519536180794134",US,400000.0,100,100.0,23983608.0,WBCA Washington's Birthday Celebration,Houston,1,33,wbca washingtons birthday celebration sourced from predicthqcom  the washingtons birthday celebration wbca is a monthlong event held each february in laredo the seat of webb county in south texas that celebrates the birthday of george washington festivals Houston,0.37560373682616066,0.2069553692814115,0.99999999999,0.0,0.36232810551338773
7zgpxmypth5pveeewe,arizona renaissance festival,sourced from predicthqcom  escape  the arizona renaissance festival where pleasure and celebration are the only orders of the day as decreed by the king,festivals,America/Phoenix,"[[-111.4274945, 33.3238797], [-111.4299514, 33.3219253], [-111.4282455, 33.3201144], [-111.4246299, 33.3212978], [-111.4274945, 33.3238797]]",0,Arizona,"-111.42746316346033,33.32184334860559",US,275000.0,99,100.0,20620515.0,Arizona Renaissance Festival,Phoenix,1,59,arizona renaissance festival sourced from predicthqcom  escape  the arizona renaissance festival where pleasure and celebration are the only orders of the day as decreed by the king festivals Phoenix,0.22166777911052107,0.1735280716928614,0.899999999991,0.0,0.27572553315071685
fapmv9yvszhq4sbdaz,seoul living design fair,sourced from predicthqcom,expos,Asia/Seoul,127.059151,37.5116828,Seoul,"127.059151,37.5116828",KR,286300.0,99,100.0,58336840.0,"COEX Convention Center,Seoul Living Design Fair",Seoul,0,65,seoul living design fair sourced from predicthqcom expos Seoul,0.23558358968801488,0.5484076303971467,0.899999999991,0.0,0.39375572499299993
4luipfybr4fd4zfywc,riverside county fair and national date festival,sourced from predicthqcom  the riverside county fairnational date festival is an event that celebrates the rich heritage of agriculture and community attendees can enjoy thrilling carnival rides live entertainment mouthwatering food and a vibrant marketplace making it a mustvisit festival for all ages,festivals,America/Los_Angeles,"[[-116.2251224, 33.7149146], [-116.2251438, 33.7075249], [-116.2208523, 33.7075606], [-116.2207128, 33.7149324], [-116.2251224, 33.7149146]]",0,California,"-116.22295855768247,33.71124984456111",US,250000.0,98,100.0,18284188.0,Riverside County Fair and National Date Festival,Los Angeles,1,41,riverside county fair and national date festival sourced from predicthqcom  the riverside county fairnational date festival is an event that celebrates the rich heritage of agriculture and community attendees can enjoy thrilling carnival rides live entertainment mouthwatering food and a vibrant marketplace making it a mustvisit festival for all ages festivals Los Angeles,0.19088058756739312,0.15030626429914248,0.799999999992,0.0,0.2414441143155
8gocb63zmjcwehh5k6,sydney mardi gras parade,sourced from predicthqcom  the parade will be led by the beloved dykes on bikes first nations and 78er floats,festivals,Australia/Sydney,"[[151.21256009569285, -33.87665812226889], [151.21401637770708, -33.877662968316464], [151.216048739252, -33.87936825769602], [151.21699714941246, -33.88017389753975], [151.21734628271122, -33.88058474632059], [151.21779271205725, -33.88316024423239], [151.2179292820546, -33.88379190320139], [151.21921896186322, -33.88619656633297], [151.22012643233808, -33.888259218930344], [151.22028751340773, -33.88862535126844], [151.21955524873155, -33.88894751340775], [151.2184992381368, -33.88654723366703], [151.2171711179454, -33.88407089679861], [151.21700728794275, -33.8833131557676], [151.2165953172888, -33.88093645367942], [151.21642965058754, -33.88074150246025], [151.21553266074804, -33.87997954230398], [151.2135310222929, -33.87830003168353], [151.21168270430715, -33.877024677731114], [151.21183483248635, -33.876165926210646], [151.2119046062757, -33.87577205869698], [151.212692341303, -33.87591160627569], [151.21256009569285, -33.87665812226889]]",0,New South Wales,"151.2164085174,-33.8818976426",AU,265000.0,98,100.0,22051321.0,Sydney Gay and Lesbian Mardi Gras,Sydney,1,68,sydney mardi gras parade sourced from predicthqcom  the parade will be led by the beloved dykes on bikes first nations and 78er floats festivals Sydney,0.20935290249326988,0.18774949761045662,0.799999999992,0.0,0.2600660102792449
ddu99gaekcfz4za6rb,pet fair beijing 2025   beijing international pet supplies exhibition,sourced from predicthqcom,expos,Asia/Shanghai,116.443511,39.962182,Bei Jing Shi,"116.443511,39.962182",CN,238926.0,98,100.0,41482101.0,China International Exhibition Center,Beijing,0,8,pet fair beijing 2025   beijing international pet supplies exhibition sourced from predicthqcom expos Beijing,0.17724309320144918,0.38088078046158413,0.799999999992,0.0,0.30516147141785493
dnpfqkmwehfuoyijao,phs philadelphia flower show,sourced from predicthqcom  the phs philadelphia flower show flower power will pay tribute to the enormous impact of flowers in our lives,expos,America/New_York,-75.16001,39.95532,Pennsylvania,"-75.16001,39.95532",US,250000.0,98,100.0,55342253.0,Philadelphia Flower Show,Philadelphia,0,58,phs philadelphia flower show sourced from predicthqcom  the phs philadelphia flower show flower power will pay tribute to the enormous impact of flowers in our lives expos Philadelphia,0.19088058756739312,0.5186430800847398,0.799999999992,0.0,0.3519451590511792
ubantuhuf9bsm6dthg,sitges carnival,sourced from predicthqcom  the sitges carnival carnaval de sitges is one of the wildest most vibrant and inclusive carnivals in spain held annually in the seaside town of sitges just south of barcelona its famous for its colorful parades outrageous costumes and openly lgbtq friendly atmosphere,festivals,Europe/Madrid,1.805886,41.2371851,Catalunya,"1.805886,41.2371851",ES,250000.0,98,100.0,14608070.0,Sitges Carnival,Barcelona,1,7,sitges carnival sourced from predicthqcom  the sitges carnival carnaval de sitges is one of the wildest most vibrant and inclusive carnivals in spain held annually in the seaside town of sitges just south of barcelona its famous for its colorful parades outrageous costumes and openly lgbtq friendly atmosphere festivals Barcelona,0.19088058756739312,0.11376767010724072,0.799999999992,0.0,0.23048253605792945
7otl3f9tfw7vc2gpal,worlds championship barbque contest,sourced from predicthqcom  more than 250 barbecue teams compete at the houston livestock show and rodeo  worlds championship barbque contest over the course of three days teams from across texas and the world competed for championship titles in the following categories brisket ribs chicken go texan dutch oven dessert and the open contest,festivals,America/Chicago,"[[-95.4126289, 29.6899408], [-95.4123947, 29.6782313], [-95.4032538, 29.6791821], [-95.4035738, 29.6899967], [-95.4126289, 29.6899408]]",0,Texas,"-95.40802237079029,29.6843233071777",US,234456.0,97,100.0,19422585.0,"NRG Park,World’s Championship Bar-B-Que Contest",Houston,1,33,worlds championship barbque contest sourced from predicthqcom  more than 250 barbecue teams compete at the houston livestock show and rodeo  worlds championship barbque contest over the course of three days teams from across texas and the world competed for championship titles in the following categories brisket ribs chicken go texan dutch oven dessert and the open contest festivals Houston,0.1717383433535379,0.16162130533217745,0.699999999993,0.0,0.22218172894001842
8zdpgpktlcevvmzd84,thailand motorcycle grand prix,sourced from predicthqcom  the thailand motorcycle grand prix is a thrilling event that brings the excitement of motogp racing to the chang international circuit in buriram as part of the international motogp calendar it attracts top riders from around the world delivering highspeed action and intense competition fans from across the globe gather to experience the adrenaline along with the vibrant local culture and enthusiastic atmosphere that make this event a standout in the motogp series,sports,Asia/Bangkok,103.0849254,14.9579714,Chang Wat Buri Ram,"103.0849254,14.9579714",TH,226655.0,97,100.0,47405833.0,"Chang International Circuit,Thailand Motorcycle Grand Prix",Buriram,2,19,thailand motorcycle grand prix sourced from predicthqcom  the thailand motorcycle grand prix is a thrilling event that brings the excitement of motogp racing to the chang international circuit in buriram as part of the international motogp calendar it attracts top riders from around the world delivering highspeed action and intense competition fans from across the globe gather to experience the adrenaline along with the vibrant local culture and enthusiastic atmosphere that make this event a standout in the motogp series sports Buriram,0.16213150810442029,0.43975942354365677,0.699999999993,0.0,0.30178043030381513
e76lm6tpeeurhzepx7,perth festival,"sourced from predicthqcom  perth festival sometimes referred to as the festival of perth is australias longestrunning cultural festival held annually in western australia the program features contemporary and classical music dance theatre performance literature and ideas visual arts largescale public works 

multiple locations in perth",festivals,Australia/Perth,115.861309,-31.9523123,Western Australia,"115.861309,-31.9523123",AU,214800.0,97,100.0,15233396.0,Perth Festival,Perth,1,57,"perth festival sourced from predicthqcom  perth festival sometimes referred to as the festival of perth is australias longestrunning cultural festival held annually in western australia the program features contemporary and classical music dance theatre performance literature and ideas visual arts largescale public works 

multiple locations in perth festivals Perth",0.14753222187466902,0.11998306715152633,0.699999999993,0.0,0.2000078088942755
7yx6tqwtha7ifpupx5,cognizant classic in the palm beaches,sourced from predicthqcom  formerly known as the honda classic cognizant classic is a professional golf tournament on the pga tour in south florida it was founded in 1972 as jackie gleasons inverrary classic and prior to a schedule change in 2021 was frequently the first of the florida events in late winter following the west coast swing,sports,America/New_York,-80.1422107,26.8284058,Florida,"-80.1422107,26.8284058",US,200000.0,96,100.0,18865689.0,"PGA National Resort and Spa,Cognizant Classic",Miami,2,47,cognizant classic in the palm beaches sourced from predicthqcom  formerly known as the honda classic cognizant classic is a professional golf tournament on the pga tour in south florida it was founded in 1972 as jackie gleasons inverrary classic and prior to a schedule change in 2021 was frequently the first of the florida events in late winter following the west coast swing sports Miami,0.12930620448113728,0.15608606490978258,0.599999999994,0.0,0.18854830126448968
9gdncqyjvq7q9rwwzp,central florida fair,sourced from predicthqcom,festivals,America/New_York,"[[-81.4386301, 28.556734], [-81.4386247, 28.5554571], [-81.4365379, 28.5554665], [-81.4375679, 28.5569413], [-81.4386301, 28.556734]]",0,Florida,"-81.43778982240741,28.556084000053243",US,200000.0,96,100.0,15831935.0,"Central Florida Fairgrounds,Central Florida Fair",Miami,1,47,central florida fair sourced from predicthqcom festivals Miami,0.12930620448113728,0.12593221612580482,0.599999999994,0.0,0.17950214662929637
byyrhvrujnkuvaqgpk,apppexpo,sourced from predicthqcom  apppexpo shanghai international advertising  sign technology  equipment exhibition has explored new development of upcoming ad sign future apppexpo served as an effective platform allowing china  see the world and provide the whole world with great opportunity to understand china,expos,Asia/Shanghai,121.30266,31.18997,Shang Hai Shi,"121.30266,31.18997",CN,200000.0,96,100.0,24645658.0,"National Convention & Exhibition Center,APPPEXPO Shanghai International Printing Exhibition",Shanghai,0,66,apppexpo sourced from predicthqcom  apppexpo shanghai international advertising  sign technology  equipment exhibition has explored new development of upcoming ad sign future apppexpo served as an effective platform allowing china  see the world and provide the whole world with great opportunity to understand china expos Shanghai,0.12930620448113728,0.21353578271883342,0.599999999994,0.0,0.20578321660720494
do2amduottd3don6jw,mobile mardi gras day  fat tuesday,sourced from predicthqcom  mobile mardi gras day  fat tuesday is the grand finale of mardi gras season in mobile alabama and its a major cultural celebration rooted in centuriesold traditions it happens on fat tuesday mardi gras in french  the day before ash wednesday which marks the beginning of lent in the christian calendar,festivals,America/Chicago,"[[-88.04544453005639, 30.688689545598763], [-88.04544453005639, 30.688019476831457], [-88.04479390676238, 30.688019476831457], [-88.04479390676238, 30.688689545598763], [-88.04544453005639, 30.688689545598763]]",0,Alabama,"-88.04511921840938,30.68835451121511",US,200000.0,96,100.0,14304408.0,Mobile Mardi Gras Day - Fat Tuesday,Birmingham,1,13,mobile mardi gras day  fat tuesday sourced from predicthqcom  mobile mardi gras day  fat tuesday is the grand finale of mardi gras season in mobile alabama and its a major cultural celebration rooted in centuriesold traditions it happens on fat tuesday mardi gras in french  the day before ash wednesday which marks the beginning of lent in the christian calendar festivals Birmingham,0.12930620448113728,0.11074943658222838,0.599999999994,0.0,0.17494731276622344
dr5uktv6gt9dsk7csc,huishoudbeurs,sourced from predicthqcom,expos,Europe/Amsterdam,4.8886211,52.3411868,Noord-Holland,"4.8886211,52.3411868",NL,200000.0,96,100.0,40611855.0,"Amsterdam RAI,Huishoudbeurs",Amsterdam,0,3,huishoudbeurs sourced from predicthqcom expos Amsterdam,0.12930620448113728,0.3722310131143102,0.599999999994,0.0,0.253391785725848
39qttcs58hqjuesycp,design  construction week,sourced from predicthqcom  design  construction week dcw features the colocation of the nahb international builders show ibs and the national kitchen  bath associations kitchen  bath industry show kbis,expos,America/Los_Angeles,-115.15183100000002,36.1307069,Nevada,"-115.15183100000002,36.1307069",US,100000.0,90,100.0,19706608.0,"Las Vegas Convention Center,Design & Construction Week",Las Vegas,0,37,design  construction week sourced from predicthqcom  design  construction week dcw features the colocation of the nahb international builders show ibs and the national kitchen  bath associations kitchen  bath industry show kbis expos Las Vegas,0.006157438308625585,0.16444433798188196,0.0,0.0,0.051796276718014816
3obaiw3hijghtyp3hp,montanas brier,sourced from predicthqcom  canadas national mens curling championship,sports,America/Vancouver,-119.4953028,49.8927619,British Columbia,"-119.4953028,49.8927619",CA,100000.0,90,100.0,8739675.0,"Montanas Brier,Prospera Place",Vancouver,2,78,montanas brier sourced from predicthqcom  canadas national mens curling championship sports Vancouver,0.006157438308625585,0.055439046417036696,0.0,0.0,0.019094689248561243
5gg2xqjde2lkuzjhln,moto2 2025  grand prix of thailand 2025  practice 3,sourced from predicthqcom,sports,Asia/Bangkok,103.0849254,14.9579714,Chang Wat Buri Ram,"103.0849254,14.9579714",TH,100000.0,90,100.0,3640585.0,"Darryn Binder,Joe Roberts,Albert Arenas,Marcos Ramirez,Alex Escrig,Jorge Navarro,Ayumu Sasaki,Celestino Vietti,Tony Arbolino,Ivan Ortola,Izan Guevara,Diogo Moreira,Alonso Lopez,Jake Dixon,Mario Suryo Aji,Aron Canet,Manuel Gonzalez,Zonta van Den Goorbergh,Barry Baltus,Yuki Kunii,Filip Salac,Adrian Huertas,Senna Agius,David Alonso,Collin Veijer,Deniz Oncu,Daniel Holgado,Oscar Gutierrez,Chang International Circuit",Buriram,2,19,moto2 2025  grand prix of thailand 2025  practice 3 sourced from predicthqcom sports Buriram,0.006157438308625585,0.004756891965524418,0.0,0.0,0.00389004291310756
5w8t6dg2rusay9ktdk,ak safety equipment industrial valves,sourced from predicthqcom,expos,Europe/Berlin,8.626558,50.082582,,"8.626558,50.082582",DE,100000.0,90,100.0,18056575.0,VDMA,Unknown,0,77,ak safety equipment industrial valves sourced from predicthqcom expos Unknown,0.006157438308625585,0.14804391607207215,0.0,0.0,0.046876150145071876
5xixq9efrauxmvjuex,fruhjahrs ausstellung,sourced from predicthqcom,expos,Europe/Berlin,9.4938739,51.2882797,Hessen,"9.4938739,51.2882797",DE,100000.0,90,100.0,15490177.0,"Messe Kassel GmbH,Frühjahrs-Ausstellung - Consumer Goods Exhibition",Frankfurt,0,28,fruhjahrs ausstellung sourced from predicthqcom expos Frankfurt,0.006157438308625585,0.12253532928108549,0.0,0.0,0.039223574107775876
653zxrsmqsqprdfqsy,motogp 2025  grand prix of thailand  sprint,sourced from predicthqcom,sports,Asia/Bangkok,103.0849254,14.9579714,Chang Wat Buri Ram,"103.0849254,14.9579714",TH,100000.0,90,100.0,3640585.0,"Ai Ogura,Francesco Bagnaia,Pedro Acosta,Marc Marquez,Fabio Quartararo,Luca Marini,Brad Binder,Maverick Vinales,Marco Bezzecchi,Jack Miller,Enea Bastianini,Miguel Oliveira,Somkiat Chantra,Fermin Aldeguer,Franco Morbidelli,Lorenzo Savadori,Joan Mir,Johann Zarco,Alex Marquez,Alex Rins,Fabio Di Giannantonio,Raul Fernandez,Chang International Circuit",Buriram,2,19,motogp 2025  grand prix of thailand  sprint sourced from predicthqcom sports Buriram,0.006157438308625585,0.004756891965524418,0.0,0.0,0.00389004291310756
6vcpiu7rzwp39hqnki,viareggio carnevale  4th carnival parade,sourced from predicthqcom  the carnival of viareggio carnevale di viareggio is a carnival event annually held in the tuscan city of viareggio in italy one of the best known in italy the carnival in viareggio has its origins at the end of the 19th century the parades draw thousands of visitors of all ages who come to see both the spectacular floats and parade as well as participate in the festive air that can be breathed in the town on the days of the masquerade processions,festivals,Europe/Rome,10.2442294,43.8655924,Toscana,"10.2442294,43.8655924",IT,100000.0,90,100.0,6476947.0,Viareggio Carnevale,Florence,1,27,viareggio carnevale  4th carnival parade sourced from predicthqcom  the carnival of viareggio carnevale di viareggio is a carnival event annually held in the tuscan city of viareggio in italy one of the best known in italy the carnival in viareggio has its origins at the end of the 19th century the parades draw thousands of visitors of all ages who come to see both the spectacular floats and parade as well as participate in the festive air that can be breathed in the town on the days of the masquerade processions festivals Florence,0.006157438308625585,0.032948772666669186,0.0,0.0,0.01234760712345099
7q86bouh8wy5vjwmpq,california midwinter fair and fiesta,sourced from predicthqcom  the california midwinter fair and fiesta often referred to as the imperial county fair is the largest annual event in imperial county california held in late february or early march this fair has been a tradition since 1901 showcasing the regions agricultural roots and celebrating the local culture and community the fair blends modern attractions with historical significance creating a fun and educational experience for all ages,festivals,America/Los_Angeles,"[[-115.5689329, 32.8412508], [-115.5697268, 32.8330475], [-115.5645126, 32.8329033], [-115.5645555, 32.8412147], [-115.5689329, 32.8412508]]",0,California,"-115.56693297051237,32.83698332284812",US,98598.0,90,100.0,8122594.0,California Midwinter Fair Fiesta,Los Angeles,1,41,california midwinter fair and fiesta sourced from predicthqcom  the california midwinter fair and fiesta often referred to as the imperial county fair is the largest annual event in imperial county california held in late february or early march this fair has been a tradition since 1901 showcasing the regions agricultural roots and celebrating the local culture and community the fair blends modern attractions with historical significance creating a fun and educational experience for all ages festivals Los Angeles,0.004430892606886971,0.04930560014503647,0.0,0.0,0.016564037086265727
